iter	RMSE
0	9.63198583
1	9.022433944
2	8.434065597
3	7.906023338
4	7.479125092
5	6.990164009
6	6.557091357
7	6.118443991
8	5.736141971
9	5.391796238
10	5.072071281
11	4.782615222
12	4.502437522
13	4.254896075
14	4.019338547
15	3.814354016
16	3.661852834
17	3.481154135
18	3.32172192
19	3.178427649
20	3.028831004
21	2.933048792
22	2.825888602
23	2.726674655
24	2.647348414
25	2.561709363
26	2.464774255
27	2.39457904
28	2.329485141
29	2.2649707
30	2.203958766
31	2.14192884
32	2.091726456
33	2.044788096
34	1.998802383
35	1.953607045
36	1.92275622
37	1.897848518
38	1.861816546
39	1.829874487
40	1.801313751
41	1.775546096
42	1.75090488
43	1.728247888
44	1.712677259
45	1.692648778
46	1.673374307
47	1.6563462
48	1.637386066
49	1.627399639
50	1.614629956
51	1.600782535
52	1.587472746
53	1.578364474
54	1.568366502
55	1.560252032
56	1.55339912
57	1.544588337
58	1.535627555
59	1.528417262
60	1.52052948
61	1.510194701
62	1.503397411
63	1.495730072
64	1.487738717
65	1.483040911
66	1.476561945
67	1.470879789
68	1.463289683
69	1.45894373
70	1.452897318
71	1.448675471
72	1.443781145
73	1.436510337
74	1.429022126
75	1.424366173
76	1.418535156
77	1.409279377
78	1.403518416
79	1.39819202
80	1.395982081
81	1.391439064
82	1.387151928
83	1.383597664
84	1.381810313
85	1.375769276
86	1.373977053
87	1.372747081
88	1.36923567
89	1.365372809
90	1.362914092
91	1.360717809
92	1.358863845
93	1.352531255
94	1.351179231
95	1.348591443
96	1.345802132
97	1.337651967
98	1.336391995
99	1.334835747
