iter	Passed	Remaining
0	66	6535
1	66	3257
2	66	2160
3	67	1610
4	67	1281
5	67	1062
6	68	904
7	68	786
8	68	695
9	69	622
10	69	561
11	69	511
12	70	469
13	70	432
14	70	401
15	71	373
16	71	348
17	71	326
18	72	307
19	72	289
20	72	273
21	72	258
22	73	245
23	73	232
24	73	221
25	74	210
26	74	201
27	74	191
28	74	183
29	75	175
30	75	167
31	75	160
32	75	154
33	76	147
34	76	141
35	76	136
36	76	130
37	77	125
38	77	121
39	77	116
40	77	112
41	78	107
42	78	103
43	78	100
44	78	96
45	79	92
46	79	89
47	79	86
48	79	83
49	80	80
50	80	77
51	80	74
52	80	71
53	81	69
54	81	66
55	81	64
56	81	61
57	82	59
58	82	57
59	82	55
60	82	53
61	83	50
62	83	48
63	83	47
64	83	45
65	84	43
66	84	41
67	84	39
68	84	38
69	85	36
70	85	34
71	85	33
72	86	31
73	86	30
74	86	28
75	86	27
76	87	26
77	87	24
78	87	23
79	88	22
80	88	20
81	88	19
82	88	18
83	89	16
84	89	15
85	89	14
86	89	13
87	89	12
88	90	11
89	90	10
90	90	8
91	90	7
92	91	6
93	91	5
94	91	4
95	91	3
96	92	2
97	92	1
98	92	0
99	92	0
